Id,Tables,Join Conditions,Predicates,Cardinality
16,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,<,7,mc.company_id,>,1961",1483072
17,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,>,2011,mi_idx.info_type_id,=,99",20874
18,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","mi.info_type_id,=,8,mk.keyword_id,=,32922",146
19,movie_keyword mk,,"mk.keyword_id,=,3855",152
20,"title t,cast_info ci",t.id=ci.movie_id,"ci.person_id,<,517940,ci.role_id,=,1",3878730
21,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mi_idx.info_type_id,<,101,mk.keyword_id,<,22477",5663516
22,cast_info ci,,"ci.person_id,=,3045864",4
23,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,<,7,t.production_year,<,1994",4721288
24,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","ci.person_id,>,875228,ci.role_id,>,2",188979867
25,movie_companies mc,,"mc.company_id,<,71818,mc.company_type_id,<,2",1274246
26,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.kind_id,=,1,t.production_year,>,2008,mc.company_id,=,159,mc.company_type_id,>,1",3257
27,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,<,7,t.production_year,>,1973,mc.company_id,=,6",4237
28,cast_info ci,,"ci.person_id,<,1964659,ci.role_id,>,7",1878167
29,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","mc.company_id,<,588,mc.company_type_id,=,1",4439418
30,"title t,movie_keyword mk",t.id=mk.movie_id,"t.production_year,>,2009,mk.keyword_id,>,15901",134619
31,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,=,1,t.production_year,=,1965",917262
32,movie_companies mc,,"mc.company_id,>,79530",426812
33,movie_keyword mk,,"mk.keyword_id,<,128630",4517959
34,cast_info ci,,"ci.person_id,<,2493056,ci.role_id,>,1",11610705
35,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.production_year,>,1979,mc.company_id,>,11339,mc.company_type_id,<,2,mk.keyword_id,=,4333",12939
36,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,<,7,t.production_year,<,2008,mk.keyword_id,<,3219",1351485
37,movie_companies mc,,"mc.company_id,>,29281",809441
38,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,=,7,ci.person_id,<,3353973,mi.info_type_id,>,2",68907509
39,cast_info ci,,"ci.person_id,<,69770",652311
40,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,=,7,t.production_year,<,2013,mc.company_id,<,72071,mc.company_type_id,=,1",310128
41,"title t,movie_info mi,movie_info_idx mi_idx","t.id=mi.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,7,t.production_year,=,1996",64248
42,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.production_year,>,1992",42031831
43,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.production_year,<,1965,mk.keyword_id,>,1969",3853927
44,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.kind_id,>,4,ci.role_id,>,1",11203959
45,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,=,1988,ci.person_id,>,3005042,ci.role_id,>,8",26553
46,movie_companies mc,,"mc.company_id,=,24615",63
47,"title t,movie_companies mc",t.id=mc.movie_id,"t.production_year,<,1979,mc.company_id,>,6",783278
48,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,<,7,t.production_year,>,2007,mi.info_type_id,=,8",285875
49,"title t,movie_keyword mk",t.id=mk.movie_id,"mk.keyword_id,>,927",3535122
50,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,=,1,t.production_year,<,1974,mc.company_id,<,13631,mc.company_type_id,=,2",68921
51,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","mc.company_id,<,155563,mc.company_type_id,<,2",47470011
52,movie_keyword mk,,"mk.keyword_id,=,12324",97
53,cast_info ci,,"ci.person_id,>,1383492,ci.role_id,<,2",2520289
54,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.production_year,<,1913",167662
55,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,<,7,ci.person_id,<,1535161",6642958
56,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,<,6,t.production_year,<,1970,ci.role_id,>,2,mi.info_type_id,>,3",13036056
57,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,=,7,t.production_year,>,1999,ci.person_id,=,1484033",12
58,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","mi.info_type_id,<,57,mk.keyword_id,>,2488",121134429
59,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mk.keyword_id,=,382",45033
60,title t,,"t.production_year,=,1918",3781
61,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,>,2005",486093
62,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,<,84",227437
63,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,<,7,mk.keyword_id,<,2215",1331027
64,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.production_year,<,1990,mc.company_id,>,26971,mc.company_type_id,<,2",717685
65,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mi_idx.info_type_id,>,100,mk.keyword_id,<,41039",3166135
66,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.kind_id,<,7,t.production_year,<,1969,ci.role_id,>,1",2058046
67,title t,,"t.kind_id,<,7,t.production_year,=,1953",3172
68,cast_info ci,,"ci.person_id,<,1809828,ci.role_id,>,2",4987095
69,movie_companies mc,,"mc.company_id,>,727",1997291
70,cast_info ci,,"ci.person_id,>,2815662",8755020
71,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,7,t.production_year,=,2001,ci.role_id,<,2,mi_idx.info_type_id,=,100",41350
72,movie_keyword mk,,"mk.keyword_id,=,76969",11
73,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.production_year,=,2007,mi.info_type_id,>,18",2363889
74,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,<,7,mi.info_type_id,=,4",940676
75,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,=,1,t.production_year,>,1998,mi.info_type_id,<,2",244579
76,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,=,1,t.production_year,>,2012,ci.role_id,=,1,mk.keyword_id,>,24436",95234
77,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mk.keyword_id,>,7542",4245795
78,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.production_year,=,2005,mc.company_id,=,1877,ci.person_id,>,2029134,ci.role_id,=,2",168
79,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.production_year,=,1963,mi_idx.info_type_id,>,100",15288
80,movie_companies mc,,"mc.company_id,>,13422,mc.company_type_id,=,2",864767
81,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,1,ci.person_id,>,1945387,ci.role_id,<,10",5676669
82,cast_info ci,,"ci.person_id,=,718076,ci.role_id,<,2",114
83,movie_companies mc,,"mc.company_id,>,304,mc.company_type_id,<,2",946981
84,movie_companies mc,,"mc.company_id,=,52470",20
85,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,>,1,t.production_year,=,2003,mc.company_type_id,=,2",19671
86,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,<,4,t.production_year,=,2010,mk.keyword_id,=,112987",1
87,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,>,4,mi.info_type_id,>,16",1434018
88,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.production_year,>,1988,mc.company_id,<,13452",16153857
89,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","ci.person_id,<,71475,mi.info_type_id,<,16",4612417
90,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,=,1,mc.company_id,>,73911,mc.company_type_id,=,2",6220162
91,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,<,4,mi.info_type_id,>,3",206617055
92,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.production_year,<,2012,mk.keyword_id,<,47",70594
93,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,<,4,t.production_year,<,2009",193293744
94,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","ci.role_id,=,2,mi_idx.info_type_id,>,99",4714905
95,movie_companies mc,,"mc.company_id,=,71416,mc.company_type_id,>,1",93
96,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,=,10278,mc.company_type_id,=,1",1
97,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.production_year,=,1968,mi_idx.info_type_id,<,100",3079
98,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","mc.company_id,=,77311",1
99,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,<,6,mk.keyword_id,<,12015",133372936
100,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,=,7,t.production_year,>,2004,ci.person_id,<,102018,mi.info_type_id,=,7",30151
101,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mk.keyword_id,<,2893",4051006
102,movie_keyword mk,,"mk.keyword_id,>,30774",596661
103,"title t,cast_info ci",t.id=ci.movie_id,"ci.person_id,=,138393,ci.role_id,>,1",55
104,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.production_year,>,1986",6614625
105,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,<,7,mk.keyword_id,=,9215",1792
106,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,7,t.production_year,>,1962,mi_idx.info_type_id,=,100",4922243
107,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,>,1,t.production_year,<,2009,mi.info_type_id,<,15",2915570
108,movie_keyword mk,,"mk.keyword_id,<,259",320853
109,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","ci.person_id,>,2515942,ci.role_id,=,10",83241709
110,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.production_year,>,2006",2154390
111,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.production_year,>,2009",15059258
112,cast_info ci,,"ci.person_id,>,1573537,ci.role_id,>,3",8894283
113,"title t,movie_keyword mk",t.id=mk.movie_id,"mk.keyword_id,>,643",3799422
114,"title t,movie_keyword mk",t.id=mk.movie_id,"mk.keyword_id,<,21162",3651102
115,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,=,1,t.production_year,>,2007,mk.keyword_id,>,3065",295578
116,"title t,movie_companies mc",t.id=mc.movie_id,"t.production_year,>,1942,mc.company_id,=,74421",46
117,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","mc.company_id,<,1043",1059867
118,movie_companies mc,,"mc.company_id,>,966,mc.company_type_id,=,2",1148598
119,"title t,movie_keyword mk",t.id=mk.movie_id,"t.production_year,<,1994,mk.keyword_id,=,2951",114
120,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,<,3,t.production_year,=,1993",37317
121,movie_keyword mk,,"mk.keyword_id,=,795",1409
122,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.production_year,=,1994,mk.keyword_id,>,18536",33171
123,cast_info ci,,"ci.person_id,=,322808",17
124,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","mc.company_id,>,666,mc.company_type_id,<,2,mk.keyword_id,<,6104",11544951
125,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","mc.company_id,<,47111,mc.company_type_id,>,1",4023743
126,movie_companies mc,,"mc.company_id,<,15712",1582057
127,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,>,1965,ci.person_id,>,3278270,ci.role_id,<,9",948389
128,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,>,4,t.production_year,=,2006,mi.info_type_id,=,98",5956
129,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","t.production_year,>,2004,mk.keyword_id,=,7763",606
130,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,<,1966,ci.person_id,<,279353,ci.role_id,>,2",67151
131,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,=,1,t.production_year,>,1903",8148711
132,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.production_year,>,1989,ci.person_id,=,1290265",54
133,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.production_year,=,2008,ci.person_id,>,2352866,ci.role_id,>,1,mi_idx.info_type_id,=,99",264713
134,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,<,1991,mc.company_type_id,=,1,mk.keyword_id,=,5454",15
135,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,>,3,t.production_year,<,2004",2657403
136,movie_companies mc,,"mc.company_id,<,15563,mc.company_type_id,<,2",1073462
137,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,=,7,mi.info_type_id,>,13",3938343
138,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.production_year,=,1957",18235
139,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","t.kind_id,<,7,t.production_year,=,1920,mi.info_type_id,=,3",8200
140,movie_companies mc,,"mc.company_id,=,64037,mc.company_type_id,=,1",1
141,movie_companies mc,,"mc.company_id,>,83503,mc.company_type_id,=,2",386677
142,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,<,4,t.production_year,=,1985,ci.person_id,=,208457,ci.role_id,<,3",1
143,movie_companies mc,,"mc.company_id,>,452",2104484
144,title t,,"t.kind_id,<,2,t.production_year,>,1929",541000
145,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,7,ci.person_id,<,967469,ci.role_id,=,3,mi_idx.info_type_id,=,101",194021
146,movie_companies mc,,"mc.company_id,<,2653",883350
147,movie_keyword mk,,"mk.keyword_id,=,2984",649
148,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.production_year,<,2010,mc.company_id,>,65601,mc.company_type_id,=,1",6143
149,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","mc.company_id,=,73273,mc.company_type_id,=,2,mk.keyword_id,<,335",58
150,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.production_year,>,1988,mk.keyword_id,=,6538",1826
151,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,=,23619,mc.company_type_id,=,1",1
152,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,=,1,t.production_year,>,1918,mi_idx.info_type_id,>,101",260
153,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,=,1,mi.info_type_id,=,8",705350
154,"title t,cast_info ci,movie_info_idx mi_idx","t.id=ci.movie_id,t.id=mi_idx.movie_id","ci.person_id,<,3165208",34453965
155,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,>,1,t.production_year,=,2006",676415
156,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","mc.company_id,>,14490,mc.company_type_id,=,2",21102638
157,"title t,movie_keyword mk",t.id=mk.movie_id,"t.production_year,<,1965,mk.keyword_id,<,5557",422260
158,"title t,cast_info ci",t.id=ci.movie_id,"ci.person_id,<,3810990",34945725
159,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","ci.person_id,<,1447632,ci.role_id,>,8",21150765
160,movie_keyword mk,,"mk.keyword_id,>,62664",234861
161,"title t,movie_info mi",t.id=mi.movie_id,"t.production_year,=,2012,mi.info_type_id,>,15",276864
162,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","t.production_year,<,1978",14707181
163,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,=,7,t.production_year,>,2004,mi_idx.info_type_id,=,100",57949
164,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,=,7,mi.info_type_id,>,18",348443
165,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","mi.info_type_id,<,8,mk.keyword_id,=,712",13088
166,movie_companies mc,,"mc.company_id,>,966,mc.company_type_id,>,1",1148598
167,"title t,cast_info ci",t.id=ci.movie_id,"ci.person_id,<,1057825,ci.role_id,<,10",10311437
168,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","ci.person_id,=,258502",84
169,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,=,7,t.production_year,=,2005,mk.keyword_id,<,240",2414
170,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,=,7,t.production_year,>,2007,mk.keyword_id,=,4557",16
171,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,>,1,t.production_year,<,1937,mi_idx.info_type_id,<,101",6
172,"title t,movie_info mi,movie_info_idx mi_idx","t.id=mi.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,1,t.production_year,<,2011,mi_idx.info_type_id,>,101",89784
173,movie_companies mc,,"mc.company_id,<,6246,mc.company_type_id,>,1",327410
174,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,<,7,t.production_year,=,2012,ci.person_id,<,794713",172343
175,title t,,"t.kind_id,=,1,t.production_year,>,1925",552334
176,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","mi.info_type_id,>,3",395780072
177,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,>,1,t.production_year,>,1998,ci.role_id,=,6",509978
178,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,=,4,mc.company_id,=,895,mc.company_type_id,>,1",14
179,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.production_year,<,2004,ci.person_id,<,1879533",71852302
180,"title t,movie_keyword mk",t.id=mk.movie_id,"mk.keyword_id,=,8624",283
181,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,<,2012,ci.person_id,>,3944789,ci.role_id,>,3",527704
182,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,<,30705",1811150
183,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,>,2,t.production_year,=,2004,mc.company_id,<,1624,mc.company_type_id,=,2",3888
184,cast_info ci,,"ci.person_id,<,1434953",14557658
185,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,=,4,mc.company_id,<,82035,mc.company_type_id,=,2",44968
186,"title t,movie_info mi",t.id=mi.movie_id,"t.production_year,>,1966,mi.info_type_id,<,5",3912146
187,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,<,3,mk.keyword_id,>,11755",921606
188,"title t,movie_info mi,movie_keyword mk","t.id=mi.movie_id,t.id=mk.movie_id","mk.keyword_id,>,3658",135962040
189,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,<,7,t.production_year,=,2007,ci.role_id,=,3",66190
190,title t,,"t.production_year,>,1961",2192624
191,cast_info ci,,"ci.person_id,>,442101,ci.role_id,=,4",2410691
192,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.production_year,<,2006,mc.company_id,>,67439,mi_idx.info_type_id,<,101",348104
193,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,<,7,t.production_year,>,1994,ci.role_id,=,10",1107447
194,movie_keyword mk,,"mk.keyword_id,<,5112",2328545
195,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,<,7,t.production_year,<,2009,ci.person_id,<,1384789,ci.role_id,>,1",1189905
196,cast_info ci,,"ci.person_id,=,695463,ci.role_id,>,2",1
197,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","t.kind_id,>,3,t.production_year,>,1940,ci.person_id,>,1355598",21283643
198,"title t,movie_keyword mk",t.id=mk.movie_id,"t.kind_id,>,4,t.production_year,<,2006",427137
199,movie_keyword mk,,"mk.keyword_id,>,6930",1929162
200,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,=,1,t.production_year,=,1921,mc.company_id,<,91847",4896
201,movie_companies mc,,"mc.company_id,<,71447,mc.company_type_id,<,2",1274246
202,"title t,movie_info_idx mi_idx",t.id=mi_idx.movie_id,"t.kind_id,=,1,t.production_year,>,1995",311038
203,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,=,7,mc.company_type_id,>,1",663362
204,"title t,movie_info mi,movie_info_idx mi_idx","t.id=mi.movie_id,t.id=mi_idx.movie_id","t.production_year,<,2011,mi.info_type_id,=,3",1499290
205,"title t,cast_info ci,movie_info mi","t.id=ci.movie_id,t.id=mi.movie_id","t.kind_id,=,1,t.production_year,>,2002,ci.person_id,>,152610,ci.role_id,=,9,mi.info_type_id,>,7",1768331
206,"title t,movie_info mi",t.id=mi.movie_id,"t.kind_id,<,2,mi.info_type_id,=,9",113025
207,"title t,movie_companies mc,movie_info_idx mi_idx","t.id=mc.movie_id,t.id=mi_idx.movie_id","t.kind_id,=,7,mc.company_id,>,27302,mc.company_type_id,>,1,mi_idx.info_type_id,=,99",73675
208,"title t,movie_keyword mk",t.id=mk.movie_id,"mk.keyword_id,<,1749",1340785
209,"title t,cast_info ci,movie_keyword mk","t.id=ci.movie_id,t.id=mk.movie_id","ci.role_id,=,1,mk.keyword_id,>,16264",19266573
210,"title t,movie_companies mc",t.id=mc.movie_id,"t.kind_id,=,1,mc.company_id,>,475,mc.company_type_id,>,1",622438
211,movie_companies mc,,"mc.company_id,>,1427,mc.company_type_id,<,2",757362
212,"title t,movie_info mi,movie_info_idx mi_idx","t.id=mi.movie_id,t.id=mi_idx.movie_id","t.production_year,>,2010,mi_idx.info_type_id,=,101",503410
213,"title t,movie_companies mc,cast_info ci","t.id=mc.movie_id,t.id=ci.movie_id","ci.person_id,<,1939613,ci.role_id,>,8",4115437
214,"title t,movie_info_idx mi_idx,movie_keyword mk","t.id=mi_idx.movie_id,t.id=mk.movie_id","mk.keyword_id,>,101393",116744
215,"title t,cast_info ci",t.id=ci.movie_id,"t.production_year,=,1999,ci.person_id,>,374675,ci.role_id,<,10",537849
216,cast_info ci,,"ci.person_id,<,3627085,ci.role_id,=,1",12670688
217,"title t,cast_info ci",t.id=ci.movie_id,"t.kind_id,<,2,ci.person_id,>,1456400,ci.role_id,>,1",5289519
218,movie_companies mc,,"mc.company_id,<,108256",2390196
219,cast_info ci,,"ci.person_id,>,1177123",24280671
220,movie_keyword mk,,"mk.keyword_id,=,1825",873
221,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","mc.company_id,=,93965,mk.keyword_id,>,126",44
222,movie_keyword mk,,"mk.keyword_id,=,4441",242
223,"title t,movie_companies mc,movie_info mi","t.id=mc.movie_id,t.id=mi.movie_id","t.kind_id,<,7,mc.company_id,>,452",54964987
224,movie_companies mc,,"mc.company_id,>,4595,mc.company_type_id,>,1",1038301
225,"title t,movie_companies mc,movie_keyword mk","t.id=mc.movie_id,t.id=mk.movie_id","t.kind_id,=,7,t.production_year,<,2003,mc.company_type_id,<,2",298957
226,"title t,movie_companies mc",t.id=mc.movie_id,"mc.company_id,<,1455,mc.company_type_id,<,2",526170
227,"title t,movie_companies mc",t.id=mc.movie_id,"t.production_year,=,1991,mc.company_type_id,>,1",13061
228,movie_companies mc,,"mc.company_id,=,789,mc.company_type_id,=,2",273
